ticket_id,assigned_team,assigned_engineer,root_cause,fix_type,is_repeat_incident
TKT-10234,Database Admins,Sarah Connor,User Error,Permanent Fix,0
TKT-10235,Network Ops,Neo Anderson,Config Error,System Restart,1
TKT-10236,DevOps,Grace Hopper,User Error,Patch,0
TKT-10237,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10238,Network Ops,Trinity Moss,Config Error,Workaround,1
TKT-10239,Network Ops,Neo Anderson,User Error,Patch,0
TKT-10240,L1 Support,Debra Gardner,Config Error,System Restart,0
TKT-10241,L1 Support,Robert Johnson,User Error,Patch,0
TKT-10242,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-10243,L1 Support,Jill Rhodes,Code Bug,Workaround,0
TKT-10244,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10245,DevOps,Linus T,Hardware Failure,Patch,0
TKT-10246,L1 Support,Robert Johnson,Code Bug,Workaround,0
TKT-10247,L1 Support,Danielle Johnson,Code Bug,Workaround,0
TKT-10248,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-10249,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-10250,L1 Support,Anthony Gonzalez,Config Error,Workaround,0
TKT-10251,Network Ops,Trinity Moss,Code Bug,Workaround,0
TKT-10252,L1 Support,Anthony Gonzalez,User Error,System Restart,0
TKT-10253,Database Admins,John Doe,Code Bug,Patch,0
TKT-10254,L1 Support,Jill Rhodes,User Error,Workaround,0
TKT-10255,Network Ops,Morpheus Fish,Code Bug,System Restart,0
TKT-10256,Network Ops,Trinity Moss,Vendor Issue,Patch,1
TKT-10257,Database Admins,Aaron Smith,Vendor Issue,Permanent Fix,0
TKT-10258,Network Ops,Trinity Moss,Hardware Failure,Patch,0
TKT-10259,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-10260,L1 Support,Lisa Smith,Hardware Failure,Permanent Fix,0
TKT-10261,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,1
TKT-10262,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-10263,Network Ops,Trinity Moss,Config Error,System Restart,0
TKT-10264,Network Ops,Neo Anderson,User Error,System Restart,0
TKT-10265,L1 Support,Patricia Miller,Config Error,Patch,0
TKT-10266,Network Ops,Neo Anderson,User Error,Permanent Fix,0
TKT-10267,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10268,Network Ops,Neo Anderson,User Error,Workaround,0
TKT-10269,Network Ops,Neo Anderson,User Error,Patch,0
TKT-10270,Network Ops,Trinity Moss,Code Bug,Patch,1
TKT-10271,L1 Support,Debra Gardner,Config Error,Permanent Fix,0
TKT-10272,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-10273,L1 Support,Jeffery Wagner,Vendor Issue,Workaround,0
TKT-10274,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,1
TKT-10275,L1 Support,Joshua Walker,Hardware Failure,Workaround,0
TKT-10276,Database Admins,Sarah Connor,Vendor Issue,Permanent Fix,0
TKT-10277,Security Ops,James Bond,User Error,System Restart,0
TKT-10278,L1 Support,Jeffrey Lawrence,User Error,Permanent Fix,0
TKT-10279,L1 Support,Jeffrey Lawrence,Hardware Failure,Patch,0
TKT-10280,L1 Support,Debra Gardner,Vendor Issue,Permanent Fix,0
TKT-10281,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-10282,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-10283,L1 Support,Jeffrey Lawrence,Hardware Failure,Workaround,1
TKT-10284,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-10285,L1 Support,Anthony Gonzalez,Vendor Issue,Workaround,0
TKT-10286,Database Admins,Sarah Connor,Hardware Failure,Permanent Fix,0
TKT-10287,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10288,Network Ops,Neo Anderson,Vendor Issue,System Restart,0
TKT-10289,Network Ops,Trinity Moss,User Error,Workaround,1
TKT-10290,L1 Support,Patricia Miller,Config Error,Patch,0
TKT-10291,Database Admins,Emily Blunt,User Error,Permanent Fix,1
TKT-10292,Database Admins,John Doe,Config Error,Patch,0
TKT-10293,Network Ops,Trinity Moss,User Error,Workaround,1
TKT-10294,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-10295,DevOps,Linus T,User Error,Workaround,0
TKT-10296,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-10297,Security Ops,Ethan Hunt,Vendor Issue,Permanent Fix,0
TKT-10298,DevOps,Ada Lovelace,User Error,Workaround,1
TKT-10299,Security Ops,Ethan Hunt,Vendor Issue,Patch,0
TKT-10300,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-10301,L1 Support,Robert Johnson,Code Bug,Permanent Fix,0
TKT-10302,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-10303,Network Ops,Morpheus Fish,Config Error,System Restart,0
TKT-10304,L1 Support,Robert Johnson,User Error,Workaround,0
TKT-10305,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-10306,L1 Support,Patricia Miller,User Error,Permanent Fix,0
TKT-10307,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-10308,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10309,L1 Support,Anthony Gonzalez,Code Bug,Workaround,0
TKT-10310,Database Admins,Sarah Connor,Vendor Issue,Permanent Fix,1
TKT-10311,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-10312,Network Ops,Trinity Moss,User Error,System Restart,1
TKT-10313,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10314,Security Ops,James Bond,Code Bug,Workaround,0
TKT-10315,L1 Support,Jeffery Wagner,Code Bug,Workaround,0
TKT-10316,Database Admins,Aaron Smith,Config Error,Permanent Fix,0
TKT-10317,L1 Support,Danielle Johnson,Config Error,Workaround,1
TKT-10318,L1 Support,Robert Johnson,Code Bug,System Restart,1
TKT-10319,DevOps,Grace Hopper,Vendor Issue,Patch,0
TKT-10320,L1 Support,Anthony Gonzalez,Vendor Issue,Patch,0
TKT-10321,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10322,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-10323,Security Ops,James Bond,Hardware Failure,Workaround,0
TKT-10324,Network Ops,Neo Anderson,Hardware Failure,System Restart,0
TKT-10325,DevOps,Grace Hopper,Hardware Failure,Workaround,0
TKT-10326,L1 Support,Jill Rhodes,Config Error,Workaround,0
TKT-10327,Security Ops,James Bond,Code Bug,Workaround,0
TKT-10328,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-10329,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10330,Database Admins,Emily Blunt,Hardware Failure,System Restart,0
TKT-10331,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-10332,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-10333,L1 Support,Patricia Miller,Hardware Failure,Permanent Fix,0
TKT-10334,Network Ops,Morpheus Fish,Hardware Failure,System Restart,0
TKT-10335,DevOps,Grace Hopper,Config Error,Patch,0
TKT-10336,Network Ops,Morpheus Fish,Vendor Issue,System Restart,0
TKT-10337,Network Ops,Neo Anderson,Code Bug,Patch,0
TKT-10338,Security Ops,Ethan Hunt,User Error,Permanent Fix,0
TKT-10339,Network Ops,Neo Anderson,Code Bug,Permanent Fix,1
TKT-10340,L1 Support,Anthony Gonzalez,User Error,Permanent Fix,1
TKT-10341,Network Ops,Neo Anderson,Hardware Failure,Workaround,1
TKT-10342,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10343,L1 Support,Anthony Gonzalez,Vendor Issue,Permanent Fix,0
TKT-10344,Security Ops,Ethan Hunt,Hardware Failure,Workaround,0
TKT-10345,DevOps,Ada Lovelace,Config Error,Permanent Fix,0
TKT-10346,L1 Support,Debra Gardner,Vendor Issue,Workaround,0
TKT-10347,DevOps,Ada Lovelace,Code Bug,Permanent Fix,0
TKT-10348,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-10349,Network Ops,Neo Anderson,Hardware Failure,Patch,0
TKT-10350,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-10351,Database Admins,Emily Blunt,Vendor Issue,Permanent Fix,0
TKT-10352,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10353,Network Ops,Trinity Moss,User Error,Workaround,0
TKT-10354,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-10355,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-10356,Database Admins,Aaron Smith,Hardware Failure,Workaround,0
TKT-10357,Network Ops,Neo Anderson,User Error,Workaround,0
TKT-10358,Network Ops,Trinity Moss,Code Bug,Permanent Fix,0
TKT-10359,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10360,L1 Support,Jeffrey Lawrence,Code Bug,System Restart,0
TKT-10361,L1 Support,Debra Gardner,Config Error,System Restart,0
TKT-10362,Network Ops,Morpheus Fish,Vendor Issue,Patch,0
TKT-10363,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-10364,L1 Support,Joshua Walker,Hardware Failure,Patch,0
TKT-10365,DevOps,Ada Lovelace,Vendor Issue,Workaround,0
TKT-10366,Network Ops,Neo Anderson,User Error,Permanent Fix,0
TKT-10367,Network Ops,Neo Anderson,User Error,System Restart,1
TKT-10368,L1 Support,Jill Rhodes,Config Error,Workaround,0
TKT-10369,Network Ops,Trinity Moss,Vendor Issue,Workaround,1
TKT-10370,L1 Support,Anthony Gonzalez,User Error,Permanent Fix,0
TKT-10371,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-10372,Security Ops,James Bond,User Error,Workaround,0
TKT-10373,L1 Support,Robert Johnson,Hardware Failure,Permanent Fix,0
TKT-10374,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-10375,Security Ops,James Bond,User Error,System Restart,1
TKT-10376,L1 Support,Debra Gardner,Config Error,Permanent Fix,0
TKT-10377,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10378,Network Ops,Neo Anderson,Code Bug,System Restart,0
TKT-10379,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-10380,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-10381,DevOps,Grace Hopper,Hardware Failure,Patch,0
TKT-10382,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-10383,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-10384,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10385,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-10386,L1 Support,Robert Johnson,Vendor Issue,Permanent Fix,1
TKT-10387,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-10388,L1 Support,Patricia Miller,Vendor Issue,Permanent Fix,0
TKT-10389,L1 Support,Anthony Gonzalez,Code Bug,Permanent Fix,0
TKT-10390,L1 Support,Debra Gardner,Hardware Failure,Permanent Fix,0
TKT-10391,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-10392,L1 Support,Patricia Miller,Code Bug,Workaround,0
TKT-10393,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
